film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
1;389;12 Angry Men;350000;14.257;1957;1000000;8.4;3266;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;62;2001: A Space Odyssey;10500000;19.01;1968;68700000;8.0;5068;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
3;20453;3 Idiots;9000000;6.862;2009;70000000;7.9;1095;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
4;453;A Beautiful Mind;60000000;13.219;2001;313542341;7.8;4807;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
5;185;A Clockwork Orange;2200000;14.562;1971;26589000;8.2;5773;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
6;702;A Streetcar Named Desire;1800000;7.154;1951;8000000;7.8;482;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7;348;Alien;11000000;18.809;1979;104931801;8.0;6722;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
8;705;All About Eve;1400000;7.218;1950;63463;8.2;583;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;143;All Quiet on the Western Front;1250000;6.197;1930;0;7.7;258;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
10;279;Amadeus;18000000;7.262;1984;51973029;8.0;1798;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
11;14;American Beauty;15000000;15.621;1999;356296601;8.0;5659;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
12;73;American History X;20000000;14.583;1998;23875127;8.3;5087;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
13;55;Amores perros;2000000;6.233;2000;20908467;7.7;854;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
14;93;Anatomy of a Murder;0;6.821;1959;0;7.9;317;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
15;703;Annie Hall;4000000;8.392;1977;38251425;7.8;1698;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
16;28;Apocalypse Now;31500000;13.569;1979;89460381;8.2;3401;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
17;212;Arsenic and Old Lace;1120175;6.422;1944;0;7.6;349;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;105;Back to the Future;19000000;18.483;1985;381109762;8.2;9648;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
19;3175;Barry Lyndon;11000000;6.164;1975;20000000;7.9;953;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
20;272;Batman Begins;150000000;25.033;2005;374218673;7.6;10927;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21;10020;Beauty and the Beast;25000000;18.367;1991;377350553;7.7;5011;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1
22;76;Before Sunrise;2500000;6.269;1995;5535405;7.8;1533;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
23;665;Ben-Hur;15000000;9.677;1959;146900000;7.7;1039;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
24;44214;Black Swan;13000000;13.545;2010;327803731;7.5;7413;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
25;78;Blade Runner;28000000;23.664;1982;32868943;7.9;6650;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
26;197;Braveheart;72000000;12.37;1995;210000000;7.8;4920;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
27;642;Butch Cassidy and the Sundance Kid;6000000;8.438;1969;102308889;7.6;923;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0
28;289;Casablanca;878000;11.416;1942;10462500;8.1;2223;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
29;524;Casino;52000000;9.745;1995;116112375;7.9;2132;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
30;829;Chinatown;6000000;10.185;1974;30000000;7.9;1509;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
31;598;Cidade de Deus;3300000;9.49;2002;30641770;8.3;2860;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
